ID	TITLE	SMARTPHONE
1041354	Acessório T - Jean Bag For Girls para DS Lite	N
1041782	Carrinho de Bebê Berço-Passeio - Pegasus Pink - Galzerano	N
1041834	Carrinho de Bebê para Gêmeos Berço-Passeio - Twin - Galzerano	N
1042568	Car Center - Calesita	N
1042584	Donka Trem com Som - Calesita	N
1043696	Interfone HDL AZ-01 Branco	N
1940486	Smartphone LG Optimus L7 II Dual P716 Preto com Dual Chip, Tela de 4.3”, Android 4.1, Câmera 8MP, 3G, Wi-Fi, aGPS, Bluetooth e Cartão 4GB - Celular LG Optimus L7 II Dual	S
2277815	Smartphone Samsung Galaxy S4 Mini Duos Preto com Dual Chip, Tela 4.3", Android 4.2, Câmera 8MP e Processador Dual Core de 1.7 Ghz - Claro - Galaxy S4 Mini Duos	S
2961097	Smartphone  Samsung Galaxy S5 SM-G900M Branco com Tela 5.1", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz	S
2961099	Smartphone  Samsung Galaxy S5 SM-G900M Dourado com Tela 5.1", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz	S
3031744	Smartphone LG L90 Dual D410 Preto com Tela de 4.7”, Dual Chip, Android 4.4, Câmera 8MP e Processador Quad Core de 1.2 GHz	S
3076120	Smartphone  Samsung Galaxy Core Plus Branco com Tela 4.3", TV Digital, Dual Chip, Android 4.3, Processador Dual Core 1.2 Ghz e Câmera de 5MP	S
3507499	Smartphone Samsung Galaxy Pocket 2 Duos SM-G110B Branco com Dual Chip, Android 4.4, Wi-Fi, 3G, GPS, Câmera 2MP, FM, MP3 e Bluetooth	S
3507899	Smartphone  Samsung Galaxy S5 Duos SM-G900 Preto com Dual Chip,Tela 5.1", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz	S
3580503	Smartphone Samsung Galaxy Ace 4 Lite Duos G313M Preto com Tela de 4”, Dual Chip, Android 4.4, Câmera 3MP, 3G, WiFi e Processador de 1GHz	S
3608270	Smartphone LG G2 Lite D295 Branco com Tela de 4.5”, Dual Chip, Android 4.4, Câmera 8MP, 3G e Processador Quad Core de 1.2GHz	S
3638254	Smartphone Samsung Galaxy Young 2 Duos G130M Branco com Tela 3.5", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP.	S
3638255	Smartphone Samsung Galaxy Young 2 Duos G130M Cinza com Tela 3.5", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP.	S
3842557	Smartphone Alcatel One Touch Pop C7 Branco com Tela 5”, Dual Chip, Câmera 8MP, Android 4.2, 3G e Processador Quad Core de 1.3 Ghz - Vivo	S
4174797	Smartphone Samsung Galaxy Win 2 Duos TV Branco com Dual Chip, Tela de 4.5", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core de1.2 Ghz	S
4174800	Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Cinza com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz	S
4186072	Smartphone Samsung Galaxy A7 4G Duos SM-A700FD Branco com Dual Chip, Tela 5.5", 4G, Android 4.4, Câmera 13MP e Processador Octa Core	S
4188382	Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Branco com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz	S
4333921	Smartphone Samsung Galaxy E5 4G Duos E500M/DS Branco com Dual Chip, Tela 5" HD sAMOLED, Android 4.4, Câmera 8MP e Processador Quad Core 1.2GHz	S
4382821	Smartphone Samsung Galaxy A5 4G Duos A500M/DS Dourado com Dual Chip, Tela 5", Android 4.4, Câm.13MP e Processador Quad Core 1.2GHz	S
4457760	Smartphone Desbloqueado Samsung Galaxy S6 Edge SM-G925I Verde com 64GB, Tela de 5.1", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core	S
4457762	Smartphone Samsung Galaxy S6 Edge SM-G925I Preto com 64GB, Tela de 5.1", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core	S
4457764	Smartphone Samsung Galaxy S6 Edge SM-G925I Branco com 64GB, Tela de 5.1", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core	S
4626851	Smartphone Microsoft Lumia 640XL Dual Preto com Windows Phone 8.1, Tela de 5.7", Dual Chip, 3G, Câmera 13MP e Processador Quad Core de 1.2 GHz	S
5409352	Smartphone Samsung Galaxy Win 2 Duos TV G360BT Cinza com Dual Chip, Tela de 4.5", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core 1.2 GHz	S
5409353	Smartphone Samsung Galaxy Win 2 Duos TV G360BT Branco com Dual Chip, Tela de 4.5", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core 1.2GHz	S
6034913	Smartphone Positivo Quattro X435 Preto com Dual Chip, Tela 5”, Android 5.1, Câmera 5MP, 4G, Wi-Fi, Bluetooth e Processador Quad Core 1.0GHz	S
7259387	Smartphone LG K4 Indigo com 8GB, Dual Chip, Tela de 4.5", 4G, Android 5.1, Câmera 5MP e Processador Quad Core de 1GHz	S
7259389	Smartphone LG K10 TV Índigo com 16GB, Dual Chip, Tela de 5.3" HD, 4G, Android 6.0, Câmera 13MP e Processador Octa Core de 1.14 GHz	S
7528302	Smartphone Multilaser MS50 Colors Preto com Tela 5.0”, Dual Chip, Android 5.0, Câmera 8MP, Wi-Fi, 3G, Bluetooth e Processador Quad Core de 1.3 GHz	S
7528303	Smartphone Multilaser MS50 Colors Branco com Tela 5.0”, Dual Chip, Android 5.0, Câmera 8MP, Wi-Fi, 3G, Bluetooth e Processador Quad Core de 1.3 GHz	S
7528304	Smartphone Multilaser MS50 Senior Preto com Tela 5.0”, Dual Chip, Android 5.0, Câmera 8MP, Wi-Fi, 3G, Bluetooth e Processador Quad Core de 1.3 GHz	S
7923488	Smartphone ASUS Zenfone II ZE551 16GB 4G Tela 5.5 ZE551ML-6C705WW - BVOLT	S
8105618	Smartphone Asus Zenfone 2 ZE551ML, 4G Android 5.0 Intel Quad Core 2.3GHz 16GB Câmera 13MP Tela 5.5, Dourado	S
10025085	Moroccanoil Brilho Reflexivo Glimmer Shine 100 ml	N
10025985	Telefone de Mesa Estilo Roda Azul c/ Luz - AR5063	N
10026064	Maquina Para Corte E Acabamento De Pelo / Cabelo Wahl Detailer 5 Star Series Bivolt	N
10026491	Kit 4 Tinta Epson Universal High Definition Aton Cmyk 1 Litro	N
10026591	Caminhão Super Bombeiro Resgate Som E Luz - Magic Toys	N
10027375	Acordeon Sanfona 48 Baixos Michael Acm4803 C/ Bag E Hardcase	N
10027491	Capa Folio Universal Rotativa 4" Preta - Muvit	N
10027515	Capa Iphone 6 Plus - Muvit	N
10027542	Transformers 4 Power Battlers Dinobot Strafe - Hasbro	N
10028171	Lixeira Basculante Grande 60 Litros Sanremo	N
10029373	Violão Infantil Acústico Nylon Michael Vm10e Bk 1/4 Preto	N
10029788	Marvel-Estojo Xeryus 4535	N
10029794	Playground Modular Advanced - Xalingo	N
10029797	Violão Jumbo Elétrico Michael Vm625dt Venetian Com Bag	N
10029798	Violão Elétrico Michael Vm921 Folk Aço Natural Fosco C/Bag	N
10029821	Cars-Rádio Controle Mater Tokyo Drift Yellow 2413	N
10029845	Violão Elétrico Michael Venetian Vm625dtst Aço - Natural Satin	N
10029931	Kit Babete Feminina com 3 Unidades Bordada Chocalho	N
10049750	Colchão Solteiro De Espuma Ortobom Viscomemory 88x188x32	N
10057726	Tinta Para Cartucho Hp 935xl Cyan Pigmentada 1 Litro Aton High Definition	N
10074259	Pelicula De Vidro Temperado Para Celular Lg G2 Lite D295	N
10074262	Pelicula De Vidro Temperado Para Samsung Galaxy E7 E700	N
10074327	Pelicula de Vidro Temperado para Asus Zenfone 6	N
10076032	Tinta Para Cartucho Hp E3e03a | 935xl Cyan Pigmentada 100ml	N
10078038	Playground Modular Adventure - Xalingo	N
10080076	Playground Modular Future - Xalingo	N
10080645	Pigmento Dailus Color Pro 06	N
10080655	Pigmento Dailus Color Pro - 04	N
10106758	Kit com 6 Porta-copos Bola 1	N
